normalized,raw_code,load_id,lsr_count,canonical_code
MAH-COARSE 030711,Mah-Coarse 030711,93,22,MAH-COARSE 030711
MAH-COARSE 030711,MAH-COARSE 030711,49,18,MAH-COARSE 030711
MAH-COARSE 030711,Mah-coarse 030711,92,4,MAH-COARSE 030711
